Name,MOID(AU)
327P/VanNess,1.2492281447783924
C/2019 N1 (ATLAS),1.250851957903314
206P/Barnard-Boattini,1.251086500875632
37P/Forbes,1.257461577992855
A/2020 A1,1.2600545503937812
124P/Mrkos,1.262416720214001
28P/Neujmin,1.2689306357747923
337P/WISE,1.272247496843453
418P/LINEAR,1.272993958389317
98P/Takamizawa,1.282996897609708
363P/Lemmon,1.2852722221111679
18D/1896 X1/Perrine-Mrkos,1.287818235284592
C/2023 F1 (PANSTARRS),1.2914645160930986
446P/McNaught,1.2923306818032594
409P/LONEOS-Hill,1.2941770473074863
C/2019 J2 (Palomar),1.2965611801607209
4P/Faye,1.297209546840927
C/2019 D1 (Flewelling),1.3026752751717312
C/2022 P1 (NEOWISE),1.3048018079382302
329P/LINEAR-Catalina,1.3105486154177932
P/2000 R2 (LINEAR),1.3134420529078603
150P/LONEOS,1.3134710205069235
C/2019 L2 (NEOWISE),1.3226768345043642
421P/McNaught,1.3284341266035886
C/2023 B2 (ATLAS),1.3308808651430803
406P/Gibbs,1.3316760185977627
C/2022 L1 (Catalina),1.3322976797173787
108P/Ciffreo,1.3330470735057065
251P/LINEAR,1.335501392265034
C/2022 Q2 (ATLAS),1.3392217920051643
A/2020 B1,1.3397570842662523
309P/LINEAR,1.3403571339061482
164P/Christensen,1.341843105363982
P/2018 L4 (PANSTARRS),1.3544424702871891
221P/LINEAR,1.3549309483921204
52P/Harrington-Abell,1.3582242245311573
40P/Vaisala,1.359471140861614
P/2012 O2 (McNaught),1.3606414111706404
93P/Lovas,1.362795915089448
428P/Gibbs,1.3648977036802916
389P/Siding Spring,1.367898467330864
C/2022 J1 (Maury-Attard),1.3718879549515892
138P/Shoemaker-Levy,1.3733948544201198
132P/Helin-Roman-Alu,1.376983369975994
P/2017 S8 (PANSTARRS),1.3782229389760334
57P/duToit-Neujmin-Delporte,1.3801335243478936
30P/Reinmuth,1.3811765471451598
155P/Shoemaker,1.3823614692165784
233P/La Sagra,1.3827367757045532
194P/LINEAR,1.383694693319545
51P-D/Harrington,1.385838902131529
51P-A/Harrington,1.3860214135031454
51P/Harrington,1.3861550351935712
171P/Spahr,1.3869514142038046
355P/LINEAR-NEAT,1.391970482346395
214P/LINEAR,1.3945148460664973
75D/Kohoutek,1.3962556635757977
184P/Lovas,1.3991252151285782
390P/Gibbs,1.4008388116037096
126P/IRAS,1.403100584760543
84P/Giclas,1.4042301991989699
C/2017 T2 (PANSTARRS),1.408809649178799
C/2021 J1 (Maury-Attard),1.4114429481166846
285P/LINEAR,1.4114823264140128
P/2011 V1 (Boattini),1.4142150817960955
C/2023 A1 (Leonard),1.4148566048266389
296P/Garradd,1.4167174185699154
C/2020 N2 (ATLAS),1.4178432068253068
P/2019 X2 (Pan-STARRS),1.4257397369622817
204P/LINEAR-NEAT,1.4305360682813628
P/2014 X1 (Elenin),1.4309535927354975
P/2013 YG46 (Spacewatch),1.4344510395511603
P/2013 T2 (Schwartz),1.4345052315529172
P/2011 Y2 (Boattini),1.43466890497691
118P/Shoemaker-Levy,1.4386803860873598
C/2020 S2 (PANSTARRS),1.4405054914680153
P/2018 P3 (PANSTARRS),1.445755230102297
P/2022 O2 (PANSTARRS),1.4488160836476378
P/2010 WK (LINEAR),1.452350058812014
C/2022 J2 (Bok),1.452414558277428
226P/Pigott-LINEAR-Kowalski,1.4560794639191428
C/2018 L2 (ATLAS),1.457915692674105
P/2009 T2 (La Sagra),1.4627518365914947
D/1886 K1 (Brooks),1.4751394042032884
P/2010 JC81 (WISE),1.4776431483012429
C/2019 H1 (NEOWISE),1.4781991759698399
C/2020 K4 (PANSTARRS),1.4802985052196866
P/2022 B1 (Wierzchos),1.4813546685389136
375P/Hill,1.4822294406237473
160P/LINEAR,1.4823104842719845
259P/Garradd,1.482735224043114
P/2016 WM48 (Lemmon),1.4842279175869273
P/2012 US27 (Siding Spring),1.4842404604489179
68P/Klemola,1.4862993096040638
429P/LINEAR-Hill,1.4886542930962445
140P/Bowell-Skiff,1.4909420704531744
